"Date","ED_data","Day_rolling_avg_10"
"17OCT2022",".","."
"18OCT2022",".","."
"19OCT2022",".","."
"20OCT2022",".","."
"21OCT2022",".","."
"22OCT2022",".","."
"23OCT2022",524,"."
"24OCT2022",".","."
"25OCT2022",".",0.016278
"26OCT2022",".",0.016278
"27OCT2022",".",0.017602
"28OCT2022",".",0.017602
"29OCT2022",".",0.017602
"30OCT2022",608,0.017602
"31OCT2022",".",0.017602
"01NOV2022",".",0.022857
"02NOV2022",".",0.022857
"03NOV2022",".",0.023302
"04NOV2022",".",0.025643
"05NOV2022",".",0.025643
"06NOV2022",599,0.029002
"07NOV2022",".",0.029002
"08NOV2022",".",0.022039
"09NOV2022",".",0.022039
"10NOV2022",".",0.017041
"11NOV2022",".",0.011599
"12NOV2022",".",0.011599
"13NOV2022",444,0.005081
"14NOV2022",".",0.005081
"15NOV2022",".",0.004099
"16NOV2022",".",0.004099
"17NOV2022",".",0.003475
"18NOV2022",".",0.001928
"19NOV2022",".",0.001928
"20NOV2022",528,0.001869
"21NOV2022",".",0.001869
"22NOV2022",".",0.002552
"23NOV2022",".",0.002552
"24NOV2022",".",0.002552
"25NOV2022",".",0.002760
"26NOV2022",".",0.002760
"27NOV2022",628,0.003919
"28NOV2022",".",0.016468
"29NOV2022",".",0.016468
"30NOV2022",".",0.018416
"01DEC2022",".",0.018416
"02DEC2022",".",0.022661
"03DEC2022",".",0.022661
"04DEC2022",530,0.022661
"05DEC2022",".",0.022661
"06DEC2022",".",0.019745
"07DEC2022",".",0.019745
"08DEC2022",".",0.013818
"09DEC2022",".",0.013818
"10DEC2022",".",0.010986
"11DEC2022",501,0.010986
"12DEC2022",".",0.008153
"13DEC2022",".",0.010048
"14DEC2022",".",0.010048
"15DEC2022",".",0.009610
"16DEC2022",".",0.009147
"17DEC2022",".",0.009147
"18DEC2022",575,0.011067
"19DEC2022",".",0.011067
"20DEC2022",".",0.009813
"21DEC2022",".",0.009813
"22DEC2022",".",0.008852
"23DEC2022",".",0.007189
"24DEC2022",".",0.007189
"25DEC2022",591,0.006636
"26DEC2022",".",0.006636
"27DEC2022",".",0.009945
"28DEC2022",".",0.009945
"29DEC2022",".",0.011307
"30DEC2022",".",0.012642
"31DEC2022",".",0.012642
"01JAN2023",595,0.015978
"02JAN2023",".",0.015978
"03JAN2023",".",0.012721
"04JAN2023",".",0.012721
"05JAN2023",".",0.014432
"06JAN2023",".",0.013723
"07JAN2023",".",0.013723
"08JAN2023",424,0.012887
"09JAN2023",".",0.012887
"10JAN2023",".",0.010240
"11JAN2023",".",0.010240
"12JAN2023",".",0.010240
"13JAN2023",".",0.009305
"14JAN2023",".",0.009305
"15JAN2023",337,0.004174
"16JAN2023",".",0.004174
"17JAN2023",".",0.005313
"18JAN2023",".",0.005313
"19JAN2023",".",0.004442
"20JAN2023",".",0.004274
"21JAN2023",".",0.004274
"22JAN2023",352,0.004274
"23JAN2023",".",0.004710
"24JAN2023",".",0.006094
"25JAN2023",".",0.006094
"26JAN2023",".",0.010030
"27JAN2023",".",0.010843
"28JAN2023",".",0.010843
"29JAN2023",329,0.015350
"30JAN2023",".",0.015350
"31JAN2023",".",0.017243
"01FEB2023",".",0.017243
"02FEB2023",".",0.024609
"03FEB2023",".",0.029857
"04FEB2023",".",0.029857
"05FEB2023",340,0.033867
"06FEB2023",".",0.033867
"07FEB2023",".",0.023553
"08FEB2023",".",0.023553
"09FEB2023",".",0.019264
"10FEB2023",".",0.018676
"11FEB2023",".",0.018676
"12FEB2023",302,0.004661
"13FEB2023",".",0.004661
"14FEB2023",".",0.006029
"15FEB2023",".",0.006029
"16FEB2023",".",0.007503
"17FEB2023",".",0.009029
"18FEB2023",".",0.009029
"19FEB2023",284,0.010344
"20FEB2023",".",0.010344
"21FEB2023",".",0.007454
"22FEB2023",".",0.007454
"23FEB2023",".",0.005937
"24FEB2023",".",0.004994
"25FEB2023",".",0.004994
"26FEB2023",262,0.001529
"27FEB2023",".",0.001529
"28FEB2023",".",0.002748
"01MAR2023",".",0.002748
"02MAR2023",".",0.003791
"03MAR2023",".",0.004497
"04MAR2023",".",0.004497
"05MAR2023",257,0.006053
"06MAR2023",".",0.006053
"07MAR2023",".",0.004270
"08MAR2023",".",0.004270
"09MAR2023",".",0.003693
"10MAR2023",".",0.003195
"11MAR2023",".",0.003195
"12MAR2023",294,0.001332
"13MAR2023",".",0.001332
"14MAR2023",".",0.001031
"15MAR2023",".",0.001031
"16MAR2023",".",0.000885
"17MAR2023",".",0.000945
"18MAR2023",".",0.000945
"19MAR2023",240,0.000437
"20MAR2023",".",0.000437
"21MAR2023",".",0.000503
"22MAR2023",".",0.000503
"23MAR2023",".",0.000741
"24MAR2023",".",0.000846
"25MAR2023",".",0.000846
"26MAR2023",234,0.001045
"27MAR2023",".",0.001045
"28MAR2023",".",0.000883
"29MAR2023",".",0.000883
"30MAR2023",".",0.000721
"31MAR2023",".",0.000749
